Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],NF,HDA,OF,PF,RF,TWF,Target
1,0.3043478260869534,0.3580246913580325,0.1313893973169749,0.5357142857142856,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
0,0.3152173913043441,0.3703703703703738,0.0983339415216193,0.5837912087912087,0.0118577075098814,1.0,0.0,0.0,0.0,0.0,0.0,0
0,0.3043478260869534,0.3456790123456841,0.1206225672496893,0.6263736263736263,0.0197628458498023,1.0,0.0,0.0,0.0,0.0,0.0,0
0,0.3152173913043441,0.3580246913580325,0.1050985502386236,0.4903846153846153,0.0276679841897233,1.0,0.0,0.0,0.0,0.0,0.0,0
0,0.3152173913043441,0.3703703703703738,0.0983339415216193,0.4972527472527473,0.0355731225296442,1.0,0.0,0.0,0.0,0.0,0.0,0
1,0.3043478260869534,0.3580246913580325,0.1029857889315208,0.5233516483516483,0.0434782608695652,1.0,0.0,0.0,0.0,0.0,0.0,0
0,0.3043478260869534,0.3580246913580325,0.1327005066041214,0.5302197802197801,0.0553359683794466,1.0,0.0,0.0,0.0,0.0,0.0,0
0,0.3043478260869534,0.3580246913580325,0.1267037160213531,0.5,0.0632411067193675,1.0,0.0,0.0,0.0,0.0,0.0,0
1,0.3260869565217348,0.3703703703703738,0.1503070682703532,0.3406593406593406,0.0711462450592885,1.0,0.0,0.0,0.0,0.0,0.0,0
1,0.3478260869565162,0.4074074074074119,0.1597680059896375,0.3324175824175824,0.0830039525691699,1.0,0.0,0.0,0.0,0.0,0.0,0
2,0.3369565217391255,0.3950617283950635,0.1643162697515558,0.2760989010989011,0.0948616600790513,1.0,0.0,0.0,0.0,0.0,0.0,0
2,0.3586956521739139,0.4197530864197603,0.1024500916637541,0.5563186813186812,0.1146245059288537,1.0,0.0,0.0,0.0,0.0,0.0,0
1,0.3586956521739139,0.4197530864197603,0.076930314413196,0.6497252747252747,0.1343873517786561,1.0,0.0,0.0,0.0,0.0,0.0,0
1,0.3586956521739139,0.4320987654321016,0.1598844029106159,0.3598901098901099,0.1462450592885375,1.0,0.0,0.0,0.0,0.0,0.0,0
0,0.3586956521739139,0.4320987654321016,0.1845188105081887,0.2170329670329671,0.1581027667984189,1.0,0.0,0.0,0.0,0.0,0.0,0
0,0.3586956521739139,0.4320987654321016,0.1296674053915901,0.6126373626373626,0.1660079051383399,1.0,0.0,0.0,0.0,0.0,0.0,0
1,0.3586956521739139,0.4320987654321016,0.0669288585428158,0.5879120879120879,0.1739130434782608,1.0,0.0,0.0,0.0,0.0,0.0,0
1,0.3695652173912975,0.4320987654321016,0.0988929659017789,0.5741758241758241,0.1857707509881422,1.0,0.0,0.0,0.0,0.0,0.0,0
2,0.3804347826086953,0.4320987654321016,0.065053078105563,0.6964285714285714,0.1976284584980237,1.0,0.0,0.0,0.0,0.0,0.0,0
1,0.3913043478260789,0.4444444444444499,0.1451829297823989,0.3942307692307692,0.217391304347826,1.0,0.0,0.0,0.0,0.0,0.0,0
2,0.3913043478260789,0.4444444444444499,0.0886314567433158,0.5343406593406593,0.2292490118577075,1.0,0.0,0.0,0.0,0.0,0.0,0
0,0.3804347826086953,0.4444444444444499,0.1094333261721891,0.5631868131868131,0.2490118577075098,1.0,0.0,0.0,0.0,0.0,0.0,0
1,0.3913043478260789,0.4444444444444499,0.1368414924989205,0.3695054945054945,0.2569169960474308,1.0,0.0,0.0,0.0,0.0,0.0,0
