Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure_Type_Encoded
1,298.1,308.6,0.3158726115031749,42.8,0,0,1
0,298.2,308.7,0.3158726114942299,46.3,3,0,1
0,298.1,308.5,0.3158726115002697,49.4,5,0,1
0,298.2,308.6,0.3158726114960675,39.5,7,0,1
0,298.2,308.7,0.3158726114942299,40.0,9,0,1
1,298.1,308.6,0.315872611495494,41.9,11,0,1
0,298.1,308.6,0.3158726115035283,42.4,14,0,1
0,298.1,308.6,0.3158726115019112,40.2,16,0,1
1,298.3,308.7,0.3158726115082726,28.6,18,0,1
1,298.5,309.0,0.3158726115108262,28.0,21,0,1
2,298.4,308.9,0.3158726115120569,23.9,24,0,1
2,298.6,309.1,0.3158726114953485,44.3,29,0,1
1,298.6,309.1,0.3158726114883841,51.1,34,0,1
1,298.6,309.2,0.3158726115108576,30.0,37,0,1
0,298.6,309.2,0.3158726115175803,19.6,40,0,1
0,298.6,309.2,0.3158726115027106,48.4,42,0,1
1,298.6,309.2,0.3158726114856341,46.6,44,0,1
1,298.7,309.2,0.3158726114943819,45.6,47,0,1
2,298.8,309.2,0.3158726114851169,54.5,50,0,1
1,298.9,309.3,0.3158726115068916,32.5,55,0,1
2,298.9,309.3,0.3158726114915863,42.7,58,0,1
0,298.8,309.3,0.3158726114972428,44.8,63,0,1
1,298.9,309.3,0.3158726115046443,30.7,65,0,1
0,299.0,309.4,0.315872611511351,25.7,68,0,1
1,299.0,309.4,0.3158726115036778,37.3,70,0,1
0,299.0,309.5,0.3158726115141221,23.3,73,0,1
0,299.1,309.5,0.3158726115010785,39.0,75,0,1
2,299.1,309.4,0.3158726115128588,24.6,77,0,1
0,299.1,309.4,0.3158726114964889,44.2,82,0,1
0,299.0,309.4,0.3158726115092231,30.1,84,0,1
1,299.1,309.5,0.3158726114883841,48.2,86,0,1
0,299.0,309.4,0.315872611512506,25.5,89,0,1
0,299.0,309.4,0.3158726114950551,48.3,91,0,1
0,298.9,309.3,0.315872611508197,32.5,93,0,1
1,298.8,309.1,0.3158726115035783,34.7,95,0,1
1,298.8,309.2,0.3158726114973773,48.6,98,0,1
1,298.9,309.2,0.3158726115046443,36.7,101,0,1
0,298.8,309.1,0.3158726114964889,39.2,104,0,1
2,298.9,309.2,0.3158726114919208,50.7,106,0,1
0,298.8,309.1,0.3158726114894004,52.5,111,0,1
0,298.8,309.1,0.3158726114904704,45.4,113,0,1
0,298.8,309.1,0.3158726114909909,50.8,115,0,1
1,298.8,309.1,0.3158726114909909,49.1,117,0,1
2,298.8,309.2,0.3158726114913327,48.5,120,0,1
1,298.8,309.1,0.3158726114986812,47.5,125,0,1
0,298.8,309.1,0.3158726114997328,49.1,128,0,1
1,298.7,309.0,0.3158726115136837,25.8,130,0,1
0,298.8,309.1,0.3158726114949811,46.3,133,0,1
2,298.8,309.2,0.315872611495494,53.9,135,0,1
1,298.9,309.2,0.3158726114945331,44.1,140,0,1
0,298.9,309.1,0.3158726115245602,4.6,143,1,3
0,298.9,309.1,0.3158726114922514,54.9,145,0,1
2,298.8,309.0,0.3158726115002107,43.8,147,0,1
0,298.7,309.0,0.3158726115038752,35.1,152,0,1
0,298.7,309.0,0.3158726115091521,30.1,154,0,1
0,298.8,309.1,0.3158726115010785,40.7,156,0,1
0,298.8,309.1,0.3158726114989957,42.4,158,0,1
0,298.8,309.1,0.3158726115011351,40.3,160,0,1
1,298.8,309.0,0.3158726115080445,29.5,162,0,1
0,298.8,309.1,0.3158726114918376,54.4,165,0,1
0,298.8,309.1,0.3158726114930605,52.6,167,0,1
1,298.8,309.0,0.3158726115051545,38.2,169,0,1
0,298.8,309.0,0.3158726115133302,22.9,172,0,1
1,298.9,309.0,0.3158726115128855,25.9,174,0,1
0,299.0,309.1,0.3158726115016925,38.6,177,0,1
0,299.0,309.1,0.3158726114931401,45.1,179,0,1
1,298.9,308.9,0.3158726115087189,28.7,181,0,1
2,298.8,308.9,0.3158726114982978,44.1,184,0,1
0,298.8,308.9,0.3158726115019112,32.4,189,0,1
0,298.9,309.0,0.3158726114943819,65.7,191,1,3
1,298.9,309.0,0.3158726115155257,22.6,193,0,1
0,298.9,309.1,0.3158726114973773,45.5,196,0,1
0,298.9,309.1,0.3158726114910767,44.4,198,0,1
0,299.0,309.1,0.3158726115051545,35.0,200,0,1
0,298.9,309.0,0.3158726115055612,32.3,202,0,1
0,298.8,308.9,0.3158726114919208,46.7,204,0,1
0,298.8,308.9,0.3158726114979733,47.9,206,0,1
0,298.8,308.9,0.3158726114975776,41.3,208,1,5
0,298.8,308.9,0.3158726114934561,51.5,0,0,1
0,298.8,308.9,0.3158726114937684,37.9,2,0,1
2,298.8,308.8,0.3158726114969031,49.9,4,0,1
0,298.9,308.9,0.3158726114972428,47.5,9,0,1
0,298.9,308.9,0.3158726114974443,40.8,11,0,1
0,299.0,309.0,0.3158726114984903,40.1,13,0,1
0,298.9,308.9,0.3158726114952755,47.6,15,0,1
1,299.0,309.0,0.3158726115126701,26.8,17,0,1
2,299.0,309.0,0.3158726114962791,43.9,20,0,1
0,299.0,309.0,0.3158726115028147,31.8,25,0,1
1,299.0,309.0,0.3158726114950551,45.2,27,0,1
1,298.9,308.9,0.3158726114996117,39.5,30,0,1
0,298.9,308.9,0.3158726115111989,25.8,33,0,1
0,298.9,308.9,0.3158726115133558,24.9,35,0,1
1,298.9,308.9,0.3158726115103777,27.1,37,0,1
0,299.1,309.0,0.3158726114972428,43.0,40,0,1
0,299.0,308.9,0.315872611506474,31.9,42,0,1
1,299.0,309.0,0.3158726114894911,52.2,44,0,1
1,299.0,309.0,0.3158726115043597,35.3,47,0,1
1,298.9,308.9,0.3158726115111067,29.9,50,0,1
0,298.9,308.8,0.3158726115020198,32.7,53,0,1
0,298.8,308.8,0.3158726115016925,44.4,55,0,1
0,298.8,308.9,0.3158726115139051,25.0,57,0,1
0,298.8,308.8,0.3158726115168226,20.7,59,0,1
0,298.8,308.8,0.3158726115033777,40.6,61,0,1
1,298.8,308.8,0.3158726114966277,40.5,63,0,1
0,298.8,308.7,0.3158726114972428,43.4,66,0,1
0,298.8,308.7,0.3158726115051087,31.1,68,0,1
0,298.8,308.7,0.3158726114969031,48.5,70,0,1
1,298.8,308.8,0.3158726115002107,46.8,72,0,1
2,298.9,308.8,0.3158726115064317,32.7,75,0,1
0,298.9,308.7,0.3158726115042157,34.1,80,0,1
0,298.8,308.6,0.3158726115143815,22.5,82,0,1
2,298.7,308.6,0.3158726115003285,43.5,84,0,1
1,298.8,308.7,0.3158726115002697,39.5,89,0,1
1,298.8,308.6,0.3158726114995508,41.9,92,0,1
0,298.8,308.6,0.3158726115087555,29.4,95,0,1
0,298.8,308.6,0.3158726114959254,45.7,97,0,1
0,298.9,308.7,0.3158726115038261,34.1,99,0,1
0,298.8,308.6,0.3158726115054717,33.0,101,0,1
1,298.8,308.6,0.3158726115097101,28.1,103,0,1
0,298.7,308.5,0.3158726114983621,40.7,106,0,1
0,298.9,308.7,0.3158726114960675,44.7,108,0,1
0,298.9,308.7,0.3158726115035283,41.2,110,0,1
0,299.0,308.8,0.3158726114855313,50.7,112,0,1
0,298.9,308.7,0.3158726115029184,43.4,114,0,1
0,298.9,308.7,0.3158726115103777,29.4,116,0,1
0,298.9,308.6,0.3158726115036281,32.2,118,0,1
0,299.0,308.6,0.3158726114874296,60.5,120,0,1
0,298.9,308.6,0.3158726114946083,46.5,122,0,1
0,299.0,308.6,0.3158726115049244,38.6,124,0,1
0,298.9,308.5,0.3158726115035783,34.3,126,0,1
0,298.8,308.4,0.3158726114987444,41.1,128,0,1
0,298.8,308.4,0.3158726115106996,27.7,130,0,1
1,298.7,308.4,0.3158726114966277,43.2,132,0,1
1,298.7,308.4,0.315872611495854,49.6,135,0,1
0,298.8,308.4,0.3158726114910767,53.0,138,0,1
1,298.8,308.5,0.3158726115098462,28.5,140,0,1
2,298.7,308.5,0.3158726114951287,45.7,143,0,1
0,298.7,308.6,0.315872611484165,55.3,148,0,1
2,298.8,308.6,0.3158726114971752,49.4,150,0,1
0,298.8,308.6,0.3158726114809026,55.8,155,0,1
0,298.8,308.6,0.3158726115010218,36.1,157,0,1
0,298.7,308.5,0.3158726115028147,35.2,159,0,1
1,298.6,308.4,0.315872611511942,28.2,161,0,1
2,298.6,308.4,0.3158726114941536,50.5,164,0,1
1,298.6,308.4,0.3158726114929007,42.4,169,0,1
0,298.5,308.4,0.3158726115011351,33.6,172,0,1
2,298.5,308.4,0.3158726115060455,36.1,174,0,1
0,298.4,308.4,0.3158726115012478,40.1,179,0,1
1,298.3,308.3,0.3158726114919208,48.0,181,0,1
0,298.4,308.3,0.3158726114987444,39.9,184,0,1
0,298.4,308.3,0.3158726114952755,42.7,186,0,1
1,298.4,308.2,0.3158726114981036,37.6,188,0,1
1,298.4,308.2,0.3158726115047849,41.0,191,0,1
0,298.4,308.2,0.3158726115138563,27.0,194,0,1
0,298.4,308.2,0.3158726115019656,36.2,196,0,1
2,298.4,308.2,0.3158726115167503,19.8,198,0,1
1,298.4,308.1,0.3158726115000922,46.0,203,0,1
2,298.4,308.2,0.3158726114990581,43.5,206,0,1
1,298.4,308.2,0.3158726115003285,40.0,211,0,1
0,298.4,308.2,0.3158726114986177,47.0,214,0,1
0,298.4,308.2,0.3158726114825159,60.7,216,1,2
0,298.3,308.1,0.3158726114945331,52.3,218,1,2
0,298.3,308.1,0.3158726115048781,35.5,0,0,1
1,298.4,308.2,0.3158726114984262,43.8,2,0,1
1,298.5,308.3,0.3158726114965584,43.6,5,0,1
0,298.5,308.4,0.3158726115105718,26.0,8,0,1
2,298.4,308.2,0.3158726115060455,32.6,10,0,1
2,298.4,308.3,0.3158726114977763,42.9,15,0,1
0,298.4,308.3,0.3158726114960675,62.3,20,1,3
0,298.4,308.3,0.3158726114863445,59.1,22,0,1
1,298.4,308.2,0.3158726115059585,35.0,24,0,1
0,298.2,308.1,0.3158726114980385,50.8,27,0,1
1,298.1,308.0,0.3158726115155257,20.8,29,0,1
1,298.2,308.0,0.3158726115051087,33.7,32,0,1
0,298.2,308.1,0.3158726114851169,58.3,35,0,1
0,298.2,308.1,0.3158726114921691,43.5,37,0,1
0,298.2,308.1,0.3158726115063039,34.7,39,0,1
0,298.2,308.2,0.3158726115167684,21.4,41,0,1
0,298.2,308.2,0.3158726114962791,50.2,43,0,1
0,298.2,308.3,0.3158726114849077,49.8,45,0,1
0,298.2,308.3,0.3158726114988704,49.9,47,0,1
2,298.2,308.3,0.3158726115132012,24.2,49,0,1
1,298.1,308.2,0.3158726114886647,48.1,54,0,1
0,298.1,308.2,0.3158726114994899,40.7,57,0,1
0,298.2,308.2,0.3158726115082726,30.6,59,0,1
0,298.2,308.2,0.3158726114969714,38.2,61,0,1
0,298.1,308.3,0.3158726114845914,56.0,63,0,1
0,298.2,308.4,0.3158726114919208,43.1,65,0,1
0,298.3,308.5,0.3158726115057831,33.6,67,0,1
1,298.3,308.4,0.3158726115025533,43.4,69,0,1
