iter	Passed	Remaining
0	74	74460
1	85	42640
2	95	31691
3	105	26177
4	115	22996
5	126	20970
6	135	19288
7	146	18194
8	156	17240
9	168	16693
10	180	16225
11	190	15722
12	200	15254
13	211	14893
14	222	14630
15	233	14366
16	243	14095
17	253	13822
18	263	13591
19	272	13370
20	282	13186
21	292	13008
22	302	12856
23	313	12731
24	322	12584
25	332	12469
26	344	12398
27	353	12272
28	363	12176
29	373	12074
30	383	11983
31	392	11877
32	401	11769
33	411	11688
34	421	11631
35	433	11609
36	443	11533
37	454	11499
38	465	11472
39	477	11449
40	488	11423
41	501	11430
42	514	11451
43	528	11480
44	543	11530
45	559	11604
46	575	11669
47	591	11731
48	607	11786
49	623	11842
50	638	11886
51	656	11968
52	673	12033
53	688	12068
54	704	12102
55	718	12110
56	732	12122
57	746	12118
58	757	12088
59	769	12059
60	781	12027
61	794	12018
62	806	11997
63	818	11972
64	829	11928
65	840	11899
66	853	11892
67	864	11852
68	876	11832
69	888	11802
70	899	11767
71	908	11714
72	918	11667
73	928	11620
74	938	11576
75	949	11544
76	959	11504
77	968	11453
78	978	11410
79	988	11362
80	997	11322
81	1009	11297
82	1023	11309
83	1038	11322
84	1049	11294
85	1060	11273
86	1072	11251
87	1082	11218
88	1093	11188
89	1108	11207
90	1122	11212
91	1136	11213
92	1146	11182
93	1157	11157
94	1169	11143
95	1180	11118
96	1191	11090
97	1202	11071
98	1213	11048
99	1226	11041
100	1239	11029
101	1249	11001
102	1260	10974
103	1271	10958
104	1284	10949
105	1298	10951
106	1310	10935
107	1322	10922
108	1333	10899
109	1346	10893
110	1357	10873
111	1369	10861
112	1381	10846
113	1392	10821
114	1403	10799
115	1413	10773
116	1426	10768
117	1437	10748
118	1450	10737
119	1461	10717
120	1473	10701
121	1484	10681
122	1494	10653
123	1506	10639
124	1517	10624
125	1529	10608
126	1541	10597
127	1552	10576
128	1564	10565
129	1575	10540
130	1584	10512
131	1595	10488
132	1605	10463
133	1617	10450
134	1628	10433
135	1638	10408
136	1648	10385
137	1658	10358
138	1669	10339
139	1680	10324
140	1691	10302
141	1700	10277
142	1711	10257
143	1723	10245
144	1733	10221
145	1743	10198
146	1752	10170
147	1764	10159
148	1774	10132
149	1785	10119
150	1796	10098
151	1806	10075
152	1815	10052
153	1826	10034
154	1838	10024
155	1850	10010
156	1860	9987
157	1871	9974
158	1883	9959
159	1892	9936
160	1903	9918
161	1917	9917
162	1930	9911
163	1941	9898
164	1953	9886
165	1964	9868
166	1975	9853
167	1985	9835
168	1997	9820
169	2008	9807
170	2021	9798
171	2033	9788
172	2045	9776
173	2057	9765
