iter	Passed	Remaining
0	34	10272
1	61	9209
2	85	8483
3	115	8520
4	139	8249
5	185	9071
6	217	9113
7	238	8707
8	258	8346
9	281	8160
10	316	8322
11	368	8837
12	445	9842
13	489	9998
14	584	11102
15	673	11948
16	698	11634
17	722	11322
18	749	11084
19	773	10831
20	797	10594
21	820	10364
22	854	10293
23	879	10115
24	923	10161
25	1021	10763
26	1083	10951
27	1156	11232
28	1209	11306
29	1236	11131
30	1262	10954
31	1287	10778
32	1311	10612
33	1349	10554
34	1384	10482
35	1407	10318
36	1444	10266
37	1462	10083
38	1519	10169
39	1543	10035
40	1624	10261
41	1752	10762
42	1808	10806
43	1839	10705
44	1879	10652
45	1920	10602
46	1941	10452
47	1972	10353
48	1998	10237
49	2019	10095
50	2038	9953
51	2080	9923
52	2097	9776
53	2118	9649
54	2146	9562
55	2190	9545
56	2275	9702
57	2371	9894
58	2423	9899
59	2509	10038
60	2535	9936
61	2580	9904
62	2612	9826
63	2639	9732
64	2674	9669
65	2755	9768
66	2813	9782
67	2846	9711
68	2937	9833
69	3002	9865
70	3087	9959
71	3151	9980
72	3189	9916
73	3212	9812
74	3247	9741
75	3272	9643
76	3318	9611
77	3350	9537
78	3398	9508
79	3426	9424
80	3455	9343
81	3512	9338
82	3608	9433
83	3683	9470
84	3785	9574
85	3822	9512
86	3878	9496
87	3926	9458
88	3967	9405
89	4015	9370
90	4031	9258
91	4077	9219
92	4098	9123
93	4123	9036
94	4177	9015
95	4286	9109
96	4364	9134
97	4409	9089
98	4460	9055
99	4497	8994
100	4521	8909
101	4572	8876
102	4602	8802
103	4620	8708
104	4636	8611
105	4656	8521
106	4711	8498
107	4733	8415
108	4827	8458
109	4953	8555
110	5010	8532
111	5048	8473
112	5072	8394
113	5104	8328
114	5135	8261
115	5162	8189
116	5192	8121
117	5223	8057
118	5256	7994
119	5296	7944
120	5337	7895
121	5363	7824
122	5387	7753
123	5439	7720
124	5571	7799
125	5645	7795
126	5684	7744
127	5710	7673
128	5728	7593
129	5750	7520
130	5775	7450
131	5800	7382
132	5819	7307
133	5839	7233
134	5861	7164
135	5887	7099
136	5909	7030
137	5939	6972
138	5971	6916
139	6010	6869
140	6091	6869
141	6156	6850
142	6218	6827
143	6281	6804
144	6309	6744
145	6332	6679
146	6359	6618
147	6392	6565
148	6424	6510
149	6446	6446
150	6466	6380
151	6487	6316
152	6506	6251
153	6525	6186
154	6561	6137
155	6582	6075
156	6603	6014
157	6635	5963
158	6704	5945
159	6778	5930
160	6843	5908
161	6909	5886
162	6933	5827
163	6954	5767
164	6975	5706
165	6997	5648
166	7021	5592
167	7045	5535
168	7065	5476
169	7087	5419
170	7109	5363
171	7129	5305
172	7153	5251
173	7175	5196
174	7228	5162
175	7288	5135
176	7381	5129
177	7486	5130
178	7524	5086
179	7546	5031
180	7584	4986
181	7612	4935
182	7633	4880
183	7653	4825
184	7672	4769
185	7691	4714
186	7725	4668
187	7751	4618
188	7768	4562
189	7817	4526
190	7887	4501
191	7986	4492
192	8069	4473
193	8118	4435
194	8191	4410
195	8251	4378
196	8297	4338
197	8322	4287
198	8342	4234
199	8363	4181
200	8383	4129
201	8402	4076
202	8423	4025
203	8448	3975
204	8507	3942
205	8573	3912
206	8611	3868
207	8699	3847
208	8862	3858
209	8931	3827
210	8955	3777
211	8979	3727
212	9002	3677
213	9028	3628
214	9065	3584
215	9097	3537
216	9118	3487
217	9140	3438
218	9161	3388
219	9181	3338
220	9202	3289
221	9224	3241
222	9267	3200
223	9324	3163
224	9394	3131
225	9449	3094
226	9523	3062
227	9547	3014
228	9572	2967
229	9595	2920
230	9619	2873
231	9642	2826
232	9667	2779
233	9687	2732
234	9709	2685
235	9734	2639
236	9755	2593
237	9778	2547
238	9799	2501
239	9822	2455
240	9847	2410
241	9870	2365
242	9951	2334
243	10131	2325
244	10207	2291
245	10229	2245
246	10258	2201
247	10280	2155
248	10313	2112
249	10347	2069
250	10366	2023
251	10386	1978
252	10414	1934
253	10443	1891
254	10460	1845
255	10477	1800
256	10505	1757
257	10606	1726
258	10709	1695
259	10777	1658
260	10803	1614
261	10830	1570
262	10858	1527
263	10896	1485
264	10914	1441
265	10950	1399
266	10982	1357
267	11007	1314
268	11033	1271
269	11047	1227
270	11066	1184
271	11087	1141
272	11108	1098
273	11140	1057
274	11273	1024
275	11366	988
276	11426	948
277	11450	906
278	11482	864
279	11507	821
280	11530	779
281	11550	737
282	11597	696
283	11616	654
284	11650	613
285	11673	571
286	11690	529
287	11704	487
288	11731	446
289	11751	405
290	11837	366
291	11918	326
292	11981	286
293	12007	245
294	12037	204
295	12067	163
296	12107	122
297	12131	81
298	12152	40
299	12173	0
